Predicted, Actual 
extreme,Clear
snow,Clear
extreme,Clear
clear,Clear
clear,Clear
clear,Clear
snow,Clear
clear,Clear
clear,Clear
clear,Clear
drizzle,Clear
clear,Clear
clear,Clear
clear,Clear
clear,Clear
snow,Clear
clear,Clear
clear,Clear
atmosphere,Clear
snow,Clear
clear,Clear
clear,Clear
clear,Clear
clear,Clear
clear,Clear
clear,Clouds
clear,Clouds
rain,Clouds
clear,Clouds
clear,Clear
clear,Clear
clear,Clear
atmosphere,Clear
clear,Clear
clear,Clear
extreme,Clear
atmosphere,Clear
extreme,Clear
clear,Clear
clear,Clear
clear,Clear
snow,Clear
clouds,Clear
extreme,Clear
snow,Clear
snow,Clear
clear,Clear
snow,Clear
extreme,Clear
snow,Clear
clear,Clear
rain,Clear
snow,Clear
snow,Clear
snow,Clear
thunderstorms,Clear
clear,Clear
clear,Clear
atmosphere,Clear
extreme,Clear
clear,Clear
snow,Clear
rain,Clear
snow,Clear
clear,Clear
clear,Clear
clear,Clear
clear,Clear
extreme,Clear
snow,Clear
clear,Clear
clear,Clear
snow,Clear
extreme,Clear
snow,Clear
clear,Clear
clear,Clear
extreme,Clear
atmosphere,Clear
snow,Clear
snow,Clear
extreme,Clear
clear,Clear
clear,Clear
extreme,Clear
extreme,Clear
clear,Clear
thunderstorms,Clear
clouds,Clear
thunderstorms,Clear
extreme,Clear
extreme,Clear
extreme,Clear
clear,Clear
extreme,Clear
extreme,Clear
extreme,Clear
clouds,Clear
clear,Clear
extreme,Clear
thunderstorms,Clear
extreme,Clear
extreme,Clear
extreme,Clear
extreme,Clear
extreme,Clear
clear,Clear
extreme,Clear
extreme,Clear
snow,Clear
clear,Clear
extreme,Clear
thunderstorms,Clear
clear,Clear
extreme,Clear
snow,Clear
snow,Clear
atmosphere,Clear
atmosphere,Clear
clear,Clear
snow,Clear
clear,Clear
snow,Clear
clear,Clear
clear,Clear
clouds,Clear
extreme,Clear
snow,Clear
clear,Clear
extreme,Clear
clear,Clear
clear,Clear
clear,Clear
clear,Clear
clear,Clouds
clear,Clouds
extreme,Clouds
extreme,Clouds
clear,Clouds
atmosphere,Clouds
atmosphere,Clouds
atmosphere,Clouds
atmosphere,Clouds
clear,Clouds
clouds,Clouds
extreme,Clouds
atmosphere,Clouds
snow,Clouds
extreme,Clouds
clear,Clouds
clouds,Clouds
rain,Clouds
thunderstorms,Clouds
clear,Clouds
extreme,Clouds
clouds,Clouds
clouds,Clouds
rain,Clouds
rain,Clouds
atmosphere,Clouds
snow,Clouds
clouds,Clouds
clouds,Clouds
clear,Clouds
snow,Clouds
snow,Clouds
rain,Clouds
snow,Clouds
snow,Clouds
clear,Clouds
clouds,Clouds
atmosphere,Clouds
rain,Clouds
rain,Clouds
clouds,Clouds
snow,Clouds
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
rain,Rain
